streamid,region_survey
1,Fraser
2,Vancouver Island & Mainland Inlets
3,Vancouver Island & Mainland Inlets
4,Vancouver Island & Mainland Inlets
5,Vancouver Island & Mainland Inlets
6,Vancouver Island & Mainland Inlets
7,Vancouver Island & Mainland Inlets
8,Vancouver Island & Mainland Inlets
9,Vancouver Island & Mainland Inlets
10,Vancouver Island & Mainland Inlets
11,Vancouver Island & Mainland Inlets
12,Vancouver Island & Mainland Inlets
13,Vancouver Island & Mainland Inlets
14,Haida Gwaii
15,Haida Gwaii
16,Central Coast
17,Central Coast
18,Central Coast
19,Central Coast
20,Central Coast
21,Central Coast
22,Central Coast
23,Central Coast
24,Central Coast
25,Central Coast
26,Central Coast
27,Central Coast
28,Central Coast
29,Central Coast
30,Central Coast
31,Vancouver Island & Mainland Inlets
32,Central Coast
33,Central Coast
34,Skeena
35,Nass
36,Vancouver Island & Mainland Inlets
37,Vancouver Island & Mainland Inlets
38,Vancouver Island & Mainland Inlets
39,Vancouver Island & Mainland Inlets
40,Yukon
41,Central Coast
42,Central Coast
43,Central Coast
44,Central Coast
45,Central Coast
46,Central Coast
47,Central Coast
48,Central Coast
49,Central Coast
50,Central Coast
51,Vancouver Island & Mainland Inlets
52,Vancouver Island & Mainland Inlets
53,Vancouver Island & Mainland Inlets
54,Vancouver Island & Mainland Inlets
55,Vancouver Island & Mainland Inlets
56,Vancouver Island & Mainland Inlets
57,Vancouver Island & Mainland Inlets
58,Vancouver Island & Mainland Inlets
59,Vancouver Island & Mainland Inlets
60,Vancouver Island & Mainland Inlets
61,Vancouver Island & Mainland Inlets
62,Vancouver Island & Mainland Inlets
63,Vancouver Island & Mainland Inlets
64,Vancouver Island & Mainland Inlets
65,Vancouver Island & Mainland Inlets
66,Vancouver Island & Mainland Inlets
67,Vancouver Island & Mainland Inlets
68,Vancouver Island & Mainland Inlets
69,Vancouver Island & Mainland Inlets
70,Vancouver Island & Mainland Inlets
71,Vancouver Island & Mainland Inlets
72,Vancouver Island & Mainland Inlets
73,Vancouver Island & Mainland Inlets
74,Vancouver Island & Mainland Inlets
75,Vancouver Island & Mainland Inlets
76,Vancouver Island & Mainland Inlets
77,Vancouver Island & Mainland Inlets
78,Vancouver Island & Mainland Inlets
79,Vancouver Island & Mainland Inlets
80,Vancouver Island & Mainland Inlets
81,Vancouver Island & Mainland Inlets
82,Vancouver Island & Mainland Inlets
83,Vancouver Island & Mainland Inlets
84,Vancouver Island & Mainland Inlets
85,Vancouver Island & Mainland Inlets
86,Vancouver Island & Mainland Inlets
87,Vancouver Island & Mainland Inlets
88,Vancouver Island & Mainland Inlets
89,Vancouver Island & Mainland Inlets
90,Vancouver Island & Mainland Inlets
91,Vancouver Island & Mainland Inlets
92,Vancouver Island & Mainland Inlets
93,Vancouver Island & Mainland Inlets
94,Vancouver Island & Mainland Inlets
95,Vancouver Island & Mainland Inlets
96,Vancouver Island & Mainland Inlets
97,Vancouver Island & Mainland Inlets
98,Vancouver Island & Mainland Inlets
99,Vancouver Island & Mainland Inlets
100,Vancouver Island & Mainland Inlets
101,Vancouver Island & Mainland Inlets
102,Vancouver Island & Mainland Inlets
103,Vancouver Island & Mainland Inlets
104,Vancouver Island & Mainland Inlets
105,Vancouver Island & Mainland Inlets
106,Vancouver Island & Mainland Inlets
107,Vancouver Island & Mainland Inlets
108,Vancouver Island & Mainland Inlets
109,Vancouver Island & Mainland Inlets
110,Vancouver Island & Mainland Inlets
111,Vancouver Island & Mainland Inlets
112,Vancouver Island & Mainland Inlets
113,Vancouver Island & Mainland Inlets
114,Vancouver Island & Mainland Inlets
115,Vancouver Island & Mainland Inlets
116,Vancouver Island & Mainland Inlets
117,Vancouver Island & Mainland Inlets
118,Vancouver Island & Mainland Inlets
119,Vancouver Island & Mainland Inlets
120,Vancouver Island & Mainland Inlets
121,Vancouver Island & Mainland Inlets
122,Vancouver Island & Mainland Inlets
123,Vancouver Island & Mainland Inlets
124,Vancouver Island & Mainland Inlets
125,Vancouver Island & Mainland Inlets
126,Vancouver Island & Mainland Inlets
127,Vancouver Island & Mainland Inlets
128,Vancouver Island & Mainland Inlets
129,Vancouver Island & Mainland Inlets
130,Vancouver Island & Mainland Inlets
131,Vancouver Island & Mainland Inlets
132,Vancouver Island & Mainland Inlets
133,Vancouver Island & Mainland Inlets
134,Vancouver Island & Mainland Inlets
135,Vancouver Island & Mainland Inlets
136,Vancouver Island & Mainland Inlets
137,Vancouver Island & Mainland Inlets
138,Vancouver Island & Mainland Inlets
139,Vancouver Island & Mainland Inlets
140,Vancouver Island & Mainland Inlets
141,Vancouver Island & Mainland Inlets
142,Vancouver Island & Mainland Inlets
143,Vancouver Island & Mainland Inlets
144,Vancouver Island & Mainland Inlets
145,Vancouver Island & Mainland Inlets
146,Vancouver Island & Mainland Inlets
147,Vancouver Island & Mainland Inlets
148,Vancouver Island & Mainland Inlets
149,Vancouver Island & Mainland Inlets
150,Vancouver Island & Mainland Inlets
151,Vancouver Island & Mainland Inlets
152,Vancouver Island & Mainland Inlets
153,Vancouver Island & Mainland Inlets
154,Vancouver Island & Mainland Inlets
155,Vancouver Island & Mainland Inlets
156,Vancouver Island & Mainland Inlets
157,Vancouver Island & Mainland Inlets
158,Vancouver Island & Mainland Inlets
159,Vancouver Island & Mainland Inlets
160,Vancouver Island & Mainland Inlets
161,Vancouver Island & Mainland Inlets
162,Vancouver Island & Mainland Inlets
163,Vancouver Island & Mainland Inlets
164,Vancouver Island & Mainland Inlets
165,Vancouver Island & Mainland Inlets
166,Vancouver Island & Mainland Inlets
167,Vancouver Island & Mainland Inlets
168,Vancouver Island & Mainland Inlets
169,Vancouver Island & Mainland Inlets
170,Vancouver Island & Mainland Inlets
171,Vancouver Island & Mainland Inlets
172,Haida Gwaii
173,Haida Gwaii
174,Haida Gwaii
175,Haida Gwaii
176,Haida Gwaii
177,Haida Gwaii
178,Haida Gwaii
179,Haida Gwaii
180,Haida Gwaii
181,Haida Gwaii
182,Haida Gwaii
183,Haida Gwaii
184,Haida Gwaii
185,Haida Gwaii
186,Haida Gwaii
187,Haida Gwaii
188,Haida Gwaii
189,Haida Gwaii
190,Haida Gwaii
191,Haida Gwaii
192,Haida Gwaii
193,Haida Gwaii
194,Haida Gwaii
195,Haida Gwaii
196,Haida Gwaii
197,Vancouver Island & Mainland Inlets
198,Vancouver Island & Mainland Inlets
199,Vancouver Island & Mainland Inlets
200,Vancouver Island & Mainland Inlets
201,Vancouver Island & Mainland Inlets
202,Vancouver Island & Mainland Inlets
203,Vancouver Island & Mainland Inlets
204,Vancouver Island & Mainland Inlets
205,Vancouver Island & Mainland Inlets
206,Vancouver Island & Mainland Inlets
207,Vancouver Island & Mainland Inlets
208,Vancouver Island & Mainland Inlets
209,Vancouver Island & Mainland Inlets
210,Vancouver Island & Mainland Inlets
211,Vancouver Island & Mainland Inlets
212,Vancouver Island & Mainland Inlets
213,Vancouver Island & Mainland Inlets
214,Vancouver Island & Mainland Inlets
215,Vancouver Island & Mainland Inlets
216,Vancouver Island & Mainland Inlets
217,Vancouver Island & Mainland Inlets
218,Vancouver Island & Mainland Inlets
219,Vancouver Island & Mainland Inlets
220,Vancouver Island & Mainland Inlets
221,Vancouver Island & Mainland Inlets
222,Vancouver Island & Mainland Inlets
223,Vancouver Island & Mainland Inlets
224,Vancouver Island & Mainland Inlets
225,Vancouver Island & Mainland Inlets
226,Vancouver Island & Mainland Inlets
227,Vancouver Island & Mainland Inlets
228,Vancouver Island & Mainland Inlets
229,Vancouver Island & Mainland Inlets
230,Vancouver Island & Mainland Inlets
231,Vancouver Island & Mainland Inlets
232,Vancouver Island & Mainland Inlets
233,Vancouver Island & Mainland Inlets
234,Vancouver Island & Mainland Inlets
235,Vancouver Island & Mainland Inlets
236,Vancouver Island & Mainland Inlets
237,Vancouver Island & Mainland Inlets
238,Vancouver Island & Mainland Inlets
239,Vancouver Island & Mainland Inlets
240,Vancouver Island & Mainland Inlets
241,Vancouver Island & Mainland Inlets
242,Vancouver Island & Mainland Inlets
243,Vancouver Island & Mainland Inlets
244,Vancouver Island & Mainland Inlets
245,Vancouver Island & Mainland Inlets
246,Vancouver Island & Mainland Inlets
247,Vancouver Island & Mainland Inlets
248,Vancouver Island & Mainland Inlets
249,Vancouver Island & Mainland Inlets
250,Vancouver Island & Mainland Inlets
251,Vancouver Island & Mainland Inlets
252,Vancouver Island & Mainland Inlets
253,Vancouver Island & Mainland Inlets
254,Vancouver Island & Mainland Inlets
255,Vancouver Island & Mainland Inlets
256,Vancouver Island & Mainland Inlets
257,Vancouver Island & Mainland Inlets
258,Vancouver Island & Mainland Inlets
259,Vancouver Island & Mainland Inlets
260,Vancouver Island & Mainland Inlets
261,Vancouver Island & Mainland Inlets
262,Vancouver Island & Mainland Inlets
263,Vancouver Island & Mainland Inlets
264,Vancouver Island & Mainland Inlets
265,Vancouver Island & Mainland Inlets
266,Vancouver Island & Mainland Inlets
267,Vancouver Island & Mainland Inlets
268,Vancouver Island & Mainland Inlets
269,Vancouver Island & Mainland Inlets
270,Vancouver Island & Mainland Inlets
271,Vancouver Island & Mainland Inlets
272,Vancouver Island & Mainland Inlets
273,Haida Gwaii
274,Haida Gwaii
275,Haida Gwaii
276,Haida Gwaii
277,Haida Gwaii
278,Haida Gwaii
279,Haida Gwaii
280,Haida Gwaii
281,Haida Gwaii
282,Haida Gwaii
283,Haida Gwaii
284,Haida Gwaii
285,Haida Gwaii
286,Haida Gwaii
287,Haida Gwaii
288,Haida Gwaii
289,Haida Gwaii
290,Haida Gwaii
291,Haida Gwaii
292,Haida Gwaii
293,Haida Gwaii
294,Haida Gwaii
295,Haida Gwaii
296,Haida Gwaii
297,Haida Gwaii
298,Haida Gwaii
299,Haida Gwaii
300,Haida Gwaii
301,Haida Gwaii
302,Vancouver Island & Mainland Inlets
303,Vancouver Island & Mainland Inlets
304,Vancouver Island & Mainland Inlets
305,Vancouver Island & Mainland Inlets
306,Vancouver Island & Mainland Inlets
307,Vancouver Island & Mainland Inlets
308,Vancouver Island & Mainland Inlets
309,Vancouver Island & Mainland Inlets
310,Vancouver Island & Mainland Inlets
311,Vancouver Island & Mainland Inlets
312,Vancouver Island & Mainland Inlets
313,Vancouver Island & Mainland Inlets
314,Vancouver Island & Mainland Inlets
315,Vancouver Island & Mainland Inlets
316,Vancouver Island & Mainland Inlets
317,Vancouver Island & Mainland Inlets
318,Vancouver Island & Mainland Inlets
319,Vancouver Island & Mainland Inlets
320,Vancouver Island & Mainland Inlets
321,Vancouver Island & Mainland Inlets
322,Vancouver Island & Mainland Inlets
323,Vancouver Island & Mainland Inlets
324,Vancouver Island & Mainland Inlets
325,Vancouver Island & Mainland Inlets
326,Vancouver Island & Mainland Inlets
327,Vancouver Island & Mainland Inlets
328,Vancouver Island & Mainland Inlets
329,Vancouver Island & Mainland Inlets
330,Vancouver Island & Mainland Inlets
331,Vancouver Island & Mainland Inlets
332,Vancouver Island & Mainland Inlets
333,Vancouver Island & Mainland Inlets
334,Haida Gwaii
335,Haida Gwaii
336,Haida Gwaii
337,Haida Gwaii
338,Haida Gwaii
339,Haida Gwaii
340,Haida Gwaii
341,Haida Gwaii
342,Haida Gwaii
343,Haida Gwaii
344,Haida Gwaii
345,Haida Gwaii
346,Haida Gwaii
347,Haida Gwaii
348,Haida Gwaii
349,Haida Gwaii
350,Haida Gwaii
351,Haida Gwaii
352,Haida Gwaii
353,Haida Gwaii
354,Haida Gwaii
355,Haida Gwaii
356,Haida Gwaii
357,Haida Gwaii
358,Haida Gwaii
359,Haida Gwaii
360,Haida Gwaii
361,Haida Gwaii
362,Haida Gwaii
363,Haida Gwaii
364,Haida Gwaii
365,Haida Gwaii
366,Haida Gwaii
367,Haida Gwaii
368,Haida Gwaii
369,Haida Gwaii
370,Haida Gwaii
371,Haida Gwaii
372,Central Coast
373,Central Coast
374,Central Coast
375,Central Coast
376,Central Coast
377,Central Coast
378,Central Coast
379,Central Coast
380,Central Coast
381,Central Coast
382,Central Coast
383,Central Coast
384,Central Coast
385,Central Coast
386,Central Coast
387,Central Coast
388,Central Coast
389,Central Coast
390,Central Coast
391,Central Coast
392,Haida Gwaii
393,Haida Gwaii
394,Haida Gwaii
395,Haida Gwaii
396,Haida Gwaii
397,Haida Gwaii
398,Haida Gwaii
399,Haida Gwaii
400,Haida Gwaii
401,Haida Gwaii
402,Haida Gwaii
403,Haida Gwaii
404,Haida Gwaii
405,Haida Gwaii
406,Haida Gwaii
407,Haida Gwaii
408,Haida Gwaii
409,Haida Gwaii
410,Haida Gwaii
411,Haida Gwaii
412,Haida Gwaii
413,Haida Gwaii
414,Haida Gwaii
415,Haida Gwaii
416,Haida Gwaii
417,Haida Gwaii
418,Haida Gwaii
419,Haida Gwaii
420,Haida Gwaii
421,Haida Gwaii
422,Haida Gwaii
423,Haida Gwaii
424,Haida Gwaii
425,Haida Gwaii
426,Haida Gwaii
427,Haida Gwaii
428,Haida Gwaii
429,Haida Gwaii
430,Haida Gwaii
431,Haida Gwaii
432,Haida Gwaii
433,Haida Gwaii
434,Haida Gwaii
435,Haida Gwaii
436,Haida Gwaii
437,Haida Gwaii
438,Haida Gwaii
439,Haida Gwaii
440,Haida Gwaii
441,Haida Gwaii
442,Haida Gwaii
443,Haida Gwaii
444,Haida Gwaii
445,Haida Gwaii
446,Haida Gwaii
447,Haida Gwaii
448,Haida Gwaii
449,Haida Gwaii
450,Haida Gwaii
451,Haida Gwaii
452,Haida Gwaii
453,Haida Gwaii
454,Haida Gwaii
455,Haida Gwaii
456,Haida Gwaii
457,Haida Gwaii
458,Haida Gwaii
459,Haida Gwaii
460,Haida Gwaii
461,Haida Gwaii
462,Haida Gwaii
463,Haida Gwaii
464,Haida Gwaii
465,Haida Gwaii
466,Haida Gwaii
467,Haida Gwaii
468,Haida Gwaii
469,Haida Gwaii
470,Haida Gwaii
471,Haida Gwaii
472,Haida Gwaii
473,Haida Gwaii
474,Haida Gwaii
475,Haida Gwaii
476,Haida Gwaii
477,Haida Gwaii
478,Haida Gwaii
479,Haida Gwaii
480,Central Coast
481,Central Coast
482,Central Coast
483,Central Coast
484,Central Coast
485,Central Coast
486,Central Coast
487,Haida Gwaii
488,Haida Gwaii
489,Haida Gwaii
490,Haida Gwaii
491,Haida Gwaii
492,Haida Gwaii
493,Haida Gwaii
494,Haida Gwaii
495,Haida Gwaii
496,Haida Gwaii
497,Haida Gwaii
498,Haida Gwaii
499,Haida Gwaii
500,Haida Gwaii
501,Haida Gwaii
502,Haida Gwaii
503,Haida Gwaii
504,Haida Gwaii
505,Haida Gwaii
506,Haida Gwaii
507,Skeena
508,Skeena
509,Skeena
510,Skeena
511,Skeena
512,Skeena
513,Skeena
514,Skeena
515,Skeena
516,Nass
517,Nass
518,Nass
519,Nass
520,Nass
521,Nass
522,Nass
523,Nass
524,Nass
525,Nass
526,Nass
527,Nass
528,Nass
529,Nass
530,Nass
531,Nass
532,Nass
533,Nass
534,Nass
535,Nass
536,Nass
537,Nass
538,Nass
539,Nass
540,Nass
541,Nass
542,Nass
543,Nass
544,Central Coast
545,Central Coast
546,Central Coast
547,Central Coast
548,Central Coast
549,Central Coast
550,Central Coast
551,Central Coast
552,Central Coast
553,Central Coast
554,Central Coast
555,Central Coast
556,Central Coast
557,Central Coast
558,Central Coast
559,Central Coast
560,Central Coast
561,Central Coast
562,Central Coast
563,Central Coast
564,Central Coast
565,Central Coast
566,Central Coast
567,Central Coast
568,Central Coast
569,Central Coast
570,Central Coast
571,Central Coast
572,Central Coast
573,Central Coast
574,Central Coast
575,Central Coast
576,Central Coast
577,Central Coast
578,Skeena
579,Skeena
580,Central Coast
581,Central Coast
582,Central Coast
583,Central Coast
584,Central Coast
585,Central Coast
586,Central Coast
587,Central Coast
588,Central Coast
589,Central Coast
590,Central Coast
591,Central Coast
592,Central Coast
593,Central Coast
594,Central Coast
595,Central Coast
596,Central Coast
597,Central Coast
598,Central Coast
599,Central Coast
600,Central Coast
601,Central Coast
602,Central Coast
603,Central Coast
604,Central Coast
605,Central Coast
606,Central Coast
607,Central Coast
608,Central Coast
609,Central Coast
610,Central Coast
611,Central Coast
612,Central Coast
613,Central Coast
614,Central Coast
615,Central Coast
616,Central Coast
617,Central Coast
618,Central Coast
619,Central Coast
620,Central Coast
621,Central Coast
622,Central Coast
623,Central Coast
624,Central Coast
625,Central Coast
626,Central Coast
627,Central Coast
628,Central Coast
629,Central Coast
630,Central Coast
631,Central Coast
632,Central Coast
633,Central Coast
634,Central Coast
635,Central Coast
636,Central Coast
637,Central Coast
638,Central Coast
639,Central Coast
640,Central Coast
641,Central Coast
642,Skeena
643,Central Coast
644,Central Coast
645,Central Coast
646,Central Coast
647,Central Coast
648,Central Coast
649,Central Coast
650,Central Coast
651,Central Coast
652,Central Coast
653,Central Coast
654,Central Coast
655,Central Coast
656,Central Coast
657,Central Coast
658,Central Coast
659,Central Coast
